CUE,TARGET,FSG
condition,mold,0.0
resistance,run,0.0
bear,range,0.0
glass,appearance,0.0
virtue,honey,0.0
pistol,vacuum,0.0
support,expert,0.0
case,nothing,0.0
welfare,issue,0.0
bear,method,0.0
condition,mug,0.0
tobacco,jewelry,0.0
bear,help,0.0
glass,hot,0.0
space,hold,0.0
glass,time,0.0
city,time,0.0
lean,bishop,0.0
space,own,0.0
welfare,brick,0.0
master,weapon,0.0
pope,owner,0.0
management,love,0.0
resistance,obey,0.0
support,quality,0.0
support,give,0.0
impression,tired,0.0
space,health,0.0
school,mountain,0.0
master,hat,0.0
tobacco,will,0.0
rhythm,office,0.0
pope,leaf,0.0
resistance,mountain,0.0
support,trip,0.0
master,kind,0.0
theme,push,0.0
tomato,push,0.0
truth,necklace,0.0
bear,life,0.0
management,bright,0.0
master,tip,0.0
theme,beautiful,0.0
support,family,0.0
pistol,black,0.0
resistance,mood,0.0
welfare,onion,0.0
condition,track,0.0
space,stable,0.0
jewel,mirror,0.0
management,self,0.0
manner,pure,0.0
road,name,0.0
management,best,0.0
mother,cardinal,0.0
road,fight,0.0
master,metal,0.0
management,grade,0.0
manner,hog,0.0
lean,leader,0.0
attention,intelligence,0.0
road,light,0.0
school,care,0.0
pope,message,0.0
jewel,good,0.0
manner,machine,0.0
mother,place,0.0
pistol,hold,0.0
jewel,bullet,0.0
bear,hard,0.0
support,rich,0.0
luxury,crowd,0.0
pouch,child,0.0
stone,regulation,0.0
theme,construction,0.0
virtue,comfort,0.0
pope,roll,0.0
virtue,hose,0.0
jewel,mammal,0.0
bear,melody,0.0
master,fake,0.0
bear,wallet,0.0
impression,aid,0.0
virtue,yard,0.0
road,response,0.0
bear,big,0.0
lean,claw,0.0
school,earth,0.0
abuse,power,0.0
jewel,movie,0.0
myth,beer,0.0
support,nice,0.0
space,pearl,0.0
jewel,tiger,0.0
jewel,dog,0.0
pistol,love,0.0
theme,tree,0.0
space,band,0.0
condition,bang,0.0
lean,book,0.0
