CUE,TARGET,NORMED?,#G,#P,FSG,BSG,MSG,OSG,#M,MMIAS,#O,OMIAS,QSS,QFR,QCON,QH,QPS,QMC,QPR,QRSG,QUC,TSS,TFR,TCON,TH,TPS,TMC,TPR,TRSG,TUC
left,right,true,147,138,0.939,0.405,0.0,0.0,0,0,0.0,0,1,480,3.37,n,aj,0.0,1.0,0.38,1,3,613,3.53,n,aj,0.33,1.0,0.693,1
shove,push,true,156,146,0.936,0.418,0.0,0.0,0,0,0.0,0,2,2,3.62,,v,0.0,0.5,0.394,1,10,37,4.12,,v,0.5,0.4,0.628,1
weep,cry,true,180,165,0.917,0.058,0.0025,0.0041,2,0,2.0,0,3,14,4.32,,v,1.33,0.33,0.053,1,14,48,4.32,,v,1.69,0.77,0.292,1
trout,fish,true,149,136,0.913,0.036,0.0054,0.0,1,0,0.0,0,2,4,5.93,,n,0.5,0.5,0.033,1,24,35,5.84,g,n,1.26,0.74,0.101,1
halt,stop,true,138,125,0.906,0.05,0.027,0.0314,1,0,1.0,0,2,10,3.41,,n,1.0,0.5,0.045,1,8,120,2.93,g,v,1.75,0.88,0.435,1
tardy,late,true,138,124,0.899,0.088,0.0106,0.0099,1,0,1.0,0,3,1,2.53,,aj,0.67,0.33,0.079,1,11,179,2.53,,aj,1.09,0.46,0.321,1
off,on,true,145,130,0.897,0.878,0.0,0.0,0,0,0.0,0,2,639,2.77,g,ad,0.0,0.5,0.788,1,5,6742,2.55,g,pp,0.6,0.6,0.79,1
husband,wife,true,165,146,0.885,0.677,0.005,0.0011,2,0,2.0,1,4,131,5.45,,n,1.5,0.5,0.605,1,8,228,5.8,,n,1.88,0.5,0.613,1
keg,beer,true,165,146,0.885,0.0,0.0074,0.0019,2,0,1.0,0,4,2,6.87,,n,0.75,0.25,0.001,1,22,34,5.83,,n,2.17,0.67,0.094,1
text,book,true,151,133,0.881,0.0,0.0027,0.0018,2,0,2.0,0,5,60,5.8,,n,1.8,0.0,0.0,1,15,193,6.09,,n,1.57,0.71,0.237,1
scissors,cut,true,165,145,0.879,0.034,0.0058,0.0026,2,0,2.0,1,4,1,5.92,g,n,1.5,0.25,0.03,1,21,192,4.15,g,n,1.35,0.6,0.072,1
saddle,horse,true,149,131,0.879,0.103,0.0074,0.0052,1,0,1.0,0,4,25,6.2,g,n,0.5,0.25,0.091,1,16,117,6.03,,n,1.15,0.77,0.304,1
on,off,true,148,130,0.878,0.897,0.0007,0.0,1,0,0.0,0,5,6742,2.55,g,pp,0.6,0.6,0.79,1,2,639,2.77,g,ad,0.0,0.5,0.788,1
bride,groom,true,156,135,0.865,0.62,0.0,0.0005,0,0,2.0,2,4,33,5.74,,n,1.25,0.5,0.538,1,11,5,5.31,,n,1.27,0.09,0.536,1
before,after,true,149,128,0.859,0.571,0.0,0.0,0,2,0.0,0,4,1016,2.52,,ad,0.0,0.5,0.0,0,10,1070,2.33,,pp,0.44,0.44,0.492,0
itch,scratch,true,145,123,0.848,0.359,0.0003,0.0004,1,0,1.0,1,4,5,4.84,,n,0.5,0.5,0.308,1,13,9,5.31,t,v,1.67,0.42,0.312,1
trousers,pants,true,156,132,0.846,0.0,0.0434,0.0077,4,0,4.0,0,5,7,5.67,,n,2.6,0.2,0.001,1,22,9,6.15,,n,2.86,0.52,0.145,1
up,down,true,148,125,0.845,0.581,0.0007,0.0005,1,0,1.0,0,5,1895,3.8,,ad,1.2,1.0,0.502,1,10,895,3.23,w,ad,0.6,0.8,0.499,1
web,spider,true,148,125,0.845,0.246,0.0,0.0,0,1,0.0,0,4,6,5.57,,n,0.0,0.33,0.208,1,12,2,5.95,,n,1.22,0.22,0.213,0
crib,baby,true,139,117,0.842,0.032,0.0,0.0,0,0,0.0,0,4,5,6.45,,n,0.0,0.25,0.027,1,19,62,5.77,,n,2.05,0.63,0.14,1
assist,help,true,183,154,0.842,0.016,0.027,0.004,2,0,1.0,0,3,26,3.38,,v,1.0,0.33,0.014,1,23,311,2.82,,v,1.14,0.5,0.052,1
wick,candle,true,145,122,0.841,0.051,0.0,0.0049,0,0,2.0,2,3,4,5.45,,n,0.67,0.33,0.043,1,8,18,5.37,,n,1.38,0.5,0.081,1
yolk,egg,true,149,125,0.839,0.079,0.0,0.0011,0,0,2.0,2,4,1,5.89,,n,0.5,0.25,0.066,1,20,12,5.79,g,n,1.0,0.24,0.076,1
perspire,sweat,true,153,128,0.837,0.203,0.0011,0.0023,1,0,2.0,2,4,0,5.1,,v,1.0,0.5,0.17,1,16,23,4.53,,v,0.87,0.53,0.191,1
saltine,cracker,true,146,122,0.836,0.106,0.0,0.0041,0,0,1.0,1,3,0,6.4,,n,0.33,0.33,0.089,1,18,4,6.32,,n,1.14,0.36,0.115,1
omelet,eggs,true,140,117,0.836,0.0,0.0,0.0018,0,0,2.0,2,4,3,6.26,,n,0.75,0.0,0.0,1,21,35,5.79,,n,1.71,0.29,0.171,1
pane,window,true,138,115,0.833,0.179,0.0073,0.0131,1,0,1.0,0,3,3,4.95,,n,0.67,0.33,0.149,1,14,119,6.27,,n,1.14,0.71,0.308,1
cobra,snake,true,148,123,0.831,0.0,0.009,0.0067,3,0,4.0,2,7,3,6.23,,n,1.57,0.0,0.0,1,21,44,6.48,g,n,0.95,0.53,0.143,1
comprehend,understand,true,140,116,0.829,0.311,0.002,0.0021,2,0,1.0,0,4,10,2.3,,v,1.75,0.75,0.259,1,12,137,2.33,,v,0.91,0.55,0.271,1
toad,frog,true,145,120,0.828,0.263,0.0054,0.0025,2,1,2.0,0,4,4,5.64,,n,1.33,0.67,0.22,1,20,1,6.96,g,n,1.67,0.5,0.232,1
ill,sick,true,148,122,0.824,0.355,0.0222,0.0098,4,0,3.0,0,6,39,3.49,,aj,1.83,0.5,0.294,1,13,51,3.89,,aj,2.23,0.92,0.39,1
lobe,ear,true,153,126,0.824,0.07,0.0064,0.0026,1,0,1.0,0,3,3,5.73,,n,0.67,0.67,0.058,1,14,29,6.26,n,n,0.85,0.69,0.142,1
plasma,blood,true,148,121,0.818,0.051,0.0055,0.0006,2,0,1.0,0,4,13,5.08,,n,0.75,0.25,0.042,1,20,121,6.55,,n,0.53,0.65,0.123,1
thunder,lightning,true,165,135,0.818,0.354,0.0022,0.0064,1,0,2.0,1,6,14,5.35,,n,1.67,0.5,0.297,1,14,14,5.42,,n,0.64,0.43,0.315,1
quack,duck,true,148,121,0.818,0.115,0.0,0.0,0,1,0.0,0,5,9,4.55,n,v,0.25,0.25,0.094,1,16,9,5.68,n,n,1.69,0.39,0.168,1
quench,thirst,true,184,150,0.815,0.097,0.0039,0.0155,2,0,2.0,0,5,1,3.45,,v,1.8,0.4,0.08,1,6,4,4.41,,n,1.17,0.83,0.13,1
cash,money,true,156,127,0.814,0.212,0.019,0.0026,3,0,2.0,0,4,36,6.28,,n,1.5,0.5,0.174,1,19,265,5.77,,n,1.39,0.89,0.312,1
teller,bank,true,145,118,0.814,0.028,0.0019,0.0551,2,0,1.0,0,4,4,5.55,,n,1.0,0.5,0.025,1,6,83,5.69,n,n,0.67,1.0,0.057,1
icing,cake,true,149,121,0.812,0.054,0.0142,0.0037,3,0,4.0,2,9,1,6.1,,n,1.78,0.22,0.046,1,19,13,6.11,,n,2.79,0.47,0.112,1
hive,bee,true,178,144,0.809,0.173,0.0,0.0,0,0,0.0,0,5,2,5.3,,n,0.4,0.2,0.14,1,7,11,5.93,,n,0.43,1.0,0.481,1
tuna,fish,true,146,118,0.808,0.0,0.0035,0.0,1,0,0.0,0,5,0,6.53,,n,0.2,0.4,0.003,1,24,35,5.84,g,n,1.26,0.74,0.101,1
blaze,fire,true,156,126,0.808,0.0,0.017,0.0064,2,0,3.0,1,6,7,4.97,,n,1.67,0.17,0.001,1,18,187,6.13,n,n,2.06,0.63,0.062,1
broth,soup,true,165,133,0.806,0.036,0.022,0.0092,2,0,2.0,1,4,3,5.59,,n,1.75,0.5,0.03,1,25,16,6.11,,n,2.38,0.54,0.059,1
physician,doctor,true,148,119,0.804,0.04,0.0009,0.0,1,0,0.0,0,4,14,6.59,,n,0.25,0.25,0.032,1,19,100,5.75,g,n,2.24,0.71,0.301,1
slippery,wet,true,153,123,0.804,0.014,0.0099,0.0092,1,0,1.0,0,7,5,3.83,g,aj,0.29,0.29,0.012,1,11,53,4.74,,aj,1.7,0.8,0.287,1
affection,love,true,150,120,0.8,0.0,0.019,0.0016,4,0,3.0,0,6,1,3.7,,n,1.5,0.33,0.003,1,18,232,3.51,,n,1.67,0.78,0.236,1
hammer,nail,true,180,144,0.8,0.622,0.0,0.0002,0,0,1.0,1,7,9,5.77,,n,0.57,0.57,0.517,1,6,6,5.6,t,n,0.33,0.67,0.512,1
brawl,fight,true,155,124,0.8,0.0,0.007,0.0004,1,0,2.0,1,4,1,4.72,,n,0.75,0.0,0.0,1,24,98,4.16,,v,2.05,0.5,0.106,1
bank,money,true,144,115,0.799,0.019,0.022,0.0,4,0,0.0,0,6,83,5.69,n,n,0.67,1.0,0.057,1,19,265,5.77,,n,1.39,0.89,0.312,1
oak,tree,true,156,124,0.795,0.041,0.0538,0.0033,6,0,2.0,0,9,15,5.51,,n,1.33,0.56,0.036,1,21,59,6.62,,n,0.76,0.76,0.275,1
hound,dog,true,146,116,0.795,0.0,0.001,0.0,1,1,0.0,0,5,7,6.83,n,n,0.25,0.5,0.003,1,5,75,5.75,,n,0.4,0.8,0.437,1
library,book,true,126,100,0.794,0.0,0.0042,0.0026,1,0,1.0,0,4,62,5.3,,n,1.0,0.5,0.002,1,15,193,6.09,,n,1.57,0.71,0.237,1
bumble,bee,true,184,146,0.793,0.055,0.0,0.0,0,0,0.0,0,4,0,3.4,,v,0.25,0.5,0.044,1,7,11,5.93,,n,0.43,1.0,0.481,1
quiz,test,true,144,114,0.792,0.11,0.0022,0.0037,2,0,2.0,0,5,2,4.98,,n,1.0,0.2,0.087,1,17,119,5.08,g,n,1.75,0.69,0.301,1
kitten,cat,true,180,142,0.789,0.16,0.0,0.0,0,1,0.0,0,6,5,5.46,,n,0.4,0.6,0.131,1,3,23,6.21,,n,0.0,1.0,0.607,1
bulb,light,true,146,115,0.788,0.212,0.015,0.0014,2,0,2.0,0,7,0,6.12,t,n,1.29,0.43,0.169,1,12,333,5.39,n,n,1.27,0.82,0.361,1
auto,car,true,148,116,0.784,0.133,0.078,0.0017,5,1,1.0,0,7,22,6.87,,n,1.5,0.5,0.106,1,25,274,6.35,,n,2.5,0.91,0.259,1
remain,stay,true,139,109,0.784,0.106,0.0017,0.0051,1,1,1.0,0,6,93,2.67,,v,0.4,0.2,0.083,1,19,113,3.18,g,v,2.19,0.56,0.099,1
jog,run,true,138,108,0.783,0.14,0.0309,0.0296,3,0,2.0,0,4,1,4.6,g,v,1.5,0.75,0.114,1,10,212,4.51,,v,1.0,0.8,0.353,1
tulip,flower,true,147,115,0.782,0.012,0.015,0.0111,4,1,3.0,0,7,4,6.05,,n,1.67,0.33,0.01,1,21,23,5.62,g,n,1.62,0.67,0.265,1
west,east,true,127,99,0.78,0.886,0.0012,0.0,2,0,0.0,0,6,235,4.03,,n,0.67,0.67,0.695,1,4,183,3.59,,aj,0.5,0.5,0.692,1
giggle,laugh,true,132,103,0.78,0.073,0.027,0.0092,5,0,4.0,0,7,1,4.18,,v,2.43,0.29,0.057,1,8,28,4.29,,v,1.75,0.88,0.181,1
low,high,true,148,115,0.777,0.655,0.0,0.0,0,0,0.0,0,6,174,3.18,t,aj,0.17,0.5,0.512,1,11,497,3.62,,aj,0.73,0.55,0.512,1
marrow,bone,true,148,115,0.777,0.121,0.0,0.0,0,0,0.0,0,4,5,3.35,,n,0.25,0.25,0.094,1,19,33,5.75,,n,1.53,0.35,0.13,1
he,she,true,152,118,0.776,0.74,0.0,0.0,0,0,0.0,0,5,9543,3.95,,p,1.0,0.4,0.576,1,5,2859,4.02,,p,1.0,0.4,0.593,1
pistol,gun,true,199,154,0.774,0.06,0.0415,0.0118,6,1,6.0,1,10,27,6.59,,n,2.33,0.33,0.047,1,18,118,6.08,g,n,2.24,0.59,0.286,1
north,south,true,180,139,0.772,0.694,0.0009,0.0,2,1,0.0,0,9,206,3.54,,n,0.5,0.38,0.543,1,7,240,3.39,,n,0.33,0.5,0.537,1
king,queen,true,127,98,0.772,0.73,0.0082,0.0004,4,1,1.0,0,8,88,5.54,g,n,1.29,0.86,0.594,1,7,41,6.38,n,n,0.67,0.5,0.573,1
pal,friend,true,145,112,0.772,0.089,0.0896,0.0133,2,0,2.0,0,4,2,5.43,,n,1.0,0.5,0.093,1,22,133,4.4,,n,2.05,0.75,0.268,1
lamp,light,true,156,120,0.769,0.02,0.0367,0.0095,2,0,1.0,0,7,18,6.09,,n,0.71,0.57,0.018,1,12,333,5.39,n,n,1.27,0.82,0.361,1
question,answer,true,146,112,0.767,0.54,0.0023,0.0,2,1,0.0,0,6,257,3.91,,n,0.4,0.6,0.429,1,9,152,3.85,,n,1.44,0.67,0.537,1
sketch,draw,true,165,126,0.764,0.108,0.0025,0.0093,3,0,4.0,2,8,16,5.31,g,n,2.38,0.25,0.091,1,15,56,4.32,n,v,1.53,0.47,0.107,1
throne,king,true,145,110,0.759,0.0,0.0486,0.0322,3,0,2.0,0,7,5,5.8,,n,1.57,0.14,0.001,1,8,88,5.54,g,n,1.29,0.86,0.594,1
mom,dad,true,145,110,0.759,0.71,0.0004,0.0,1,0,0.0,0,5,3,6.4,,n,1.2,0.6,0.541,1,5,15,6.13,,n,0.2,0.6,0.55,1
thread,needle,true,165,125,0.758,0.424,0.0198,0.0284,1,0,1.0,0,6,15,6.04,g,n,1.33,0.5,0.341,1,8,15,5.79,,n,2.12,0.88,0.433,1
good,bad,true,165,125,0.758,0.75,0.005,0.0,3,0,0.0,0,8,807,2.53,,aj,0.75,0.75,0.586,1,9,142,3.0,,aj,0.33,0.56,0.571,1
arithmetic,math,true,144,109,0.757,0.048,0.045,0.0105,5,0,4.0,0,6,8,3.85,,n,2.0,0.17,0.036,1,19,4,3.78,,n,2.26,0.58,0.161,1
airport,plane,true,148,112,0.757,0.0,0.002,0.0147,1,1,2.0,1,6,19,6.31,,n,1.2,0.0,0.0,1,12,114,5.31,n,n,1.75,0.58,0.057,1
win,lose,true,148,112,0.757,0.236,0.0005,0.0,1,1,0.0,0,7,55,2.88,,v,0.5,0.83,0.193,1,11,58,2.95,,v,0.9,0.6,0.294,1
tribe,indian,true,127,96,0.756,0.034,0.004,0.0005,1,0,1.0,0,6,4,4.93,,n,1.17,0.17,0.026,1,17,52,6.18,,n,0.36,0.5,0.118,1
table,chair,true,156,118,0.756,0.314,0.0079,0.0031,2,1,2.0,0,10,198,6.0,,n,0.67,0.33,0.239,1,14,66,6.12,,n,2.46,0.85,0.396,1
