target,t_freq
the,0.02257358234074099
and,0.012681757364628494
for,0.005789124645312565
that,0.0033174004071530386
this,0.0031500085170828736
with,0.0031057517797236996
you,0.0029233650667104525
not,0.0025694857044328903
are,0.002335443030888523
from,0.0022202917361106166
your,0.002011952301424126
all,0.00197330816100063
have,0.001526188050203817
new,0.001513558522846216
more,0.0015072292051819742
was,0.0014473770242976786
will,0.001323331740378046
home,0.001245820929371728
can,0.001212131406022137
about,0.0011969207832781634
page,0.0010558230083612121
has,0.0010208913494559762
search,0.0009992046612803663
free,0.0009894615434626144
but,0.0009755991691855363
our,0.0009744852431528323
one,0.0009693907862468335
other,0.0009547013623428733
information,0.0009099296169416361
time,0.0008866213680340659
they,0.000861758895152572
site,0.0008237910347652136
may,0.0008077035364717532
what,0.0007926519943062208
which,0.0007908162231839068
their,0.0007638238816402135
news,0.0007370659474163574
out,0.0007235787589117968
use,0.0007024826318813677
any,0.0006934682017168233
there,0.0006841297191364486
see,0.0006648501156521058
only,0.0006457593671181902
his,0.0006441334820967869
when,0.000634809181273419
contact,0.0006301287682517059
here,0.000624164345682916
business,0.0006216499538271771
who,0.0006155939006188434
web,0.0006045141744003185
also,0.0006018389759580102
now,0.0005965292266135998
help,0.0005962036345477828
get,0.0005912573128504212
view,0.0005876421854107553
online,0.0005867032965064813
first,0.0005641105272407943
been,0.000561044729939251
would,0.0005587272200937877
how,0.0005579504998492019
were,0.000556829890291524
services,0.000548543535042423
some,0.0005354912937563148
these,0.0005278560036038045
click,0.0005237019167102418
its,0.0005128534658239385
like,0.0005079335425866784
service,0.0005069109486302128
than,0.0004903944002314304
find,0.0004898419244459331
price,0.0004894596346230015
date,0.0004770840373080411
back,0.0004761636964051911
top,0.00047244596075817375
people,0.0004686305997887746
had,0.00046856167069310933
list,0.00046110530679757596
name,0.0004532431992727865
just,0.0004515878969845273
over,0.00044806239707830724
state,0.0004420923779110866
year,0.0004401297144568845
day,0.0004353913050252481
into,0.00043449283046957915
email,0.0004331603717084724
two,0.00043067116649706596
health,0.00042971302416238165
world,0.00042143698398277327
next,0.00041555265053280955
used,0.0004111959601413149
work,0.00040928926169572284
last,0.00040745267586634985
most,0.0004060952812150594
products,0.00040430704410291746
music,0.00040396672584112507
buy,0.0004007970168009363
data,0.0003970192660267444
make,0.0003952399009281189
them,0.0003932063228347008
should,0.00039225759890389585
product,0.0003894166607505992
system,0.0003873273644999314
post,0.0003834064457909187
her,0.00038243526131341305
city,0.0003810729676871016
add,0.0003778208756642598
policy,0.0003750597788027319
number,0.0003744606393288547
such,0.0003714731397663052
please,0.0003708101106721627
available,0.0003704179672844558
copyright,0.00036481970821731726
support,0.0003644351216034677
message,0.00036401427711055896
after,0.0003638843649962192
best,0.0003628156391062803
software,0.0003615123907642494
then,0.0003609385862406602
jan,0.0003575307232038606
good,0.0003569064741657201
video,0.00035652948530500513
well,0.00035328308549890757
where,0.00035170790452747797
info,0.00034379960555169363
rights,0.0003434954651618002
public,0.0003407974490676612
books,0.00033925980999264345
high,0.0003370186074641378
school,0.0003347200202877758
through,0.0003340526308033985
each,0.00033260816299360844
links,0.0003316653322731454
she,0.00033092852584456453
review,0.0003308274397246525
years,0.00032963077750695376
order,0.0003284500650093643
very,0.0003267837510038999
privacy,0.0003251729326967517
book,0.00032291665467271727
items,0.00032247307936501764
company,0.0003163914941155864
read,0.0003144981617442451
group,0.0003140212585758069
sex,0.0003123264873894097
need,0.00031161513884894846
many,0.0003112146239803253
user,0.00030875566049980445
said,0.00030792537155862855
does,0.00030638723097531356
set,0.0003058513635054522
under,0.00030568240204271736
general,0.0003041811672013204
research,0.0003039670885300719
university,0.0003038066390486323
january,0.00030280355513090813
mail,0.00030279508412889007
full,0.000302396993867502
map,0.0003021505347373762
reviews,0.0003002064797778168
program,0.00029923359270891264
life,0.00029910892008787364
know,0.0002986616683535898
games,0.00029849588083344483
way,0.0002980906816431575
days,0.0002977318075743645
management,0.00029680825760382995
part,0.000295372095903252
could,0.0002949643794145073
great,0.0002941604040477871
united,0.0002920067800888667
hotel,0.000290733131469045
real,0.000290440132564068
item,0.0002893282691549836
international,0.00028845430410987595
center,0.00028716630298605925
ebay,0.0002860536590193137
must,0.00028565943446974264
store,0.0002842292518408494
travel,0.00028072687400394785
comments,0.0002805699370319836
made,0.0002803695025086527
development,0.0002793336927352861
report,0.00027928096704097
off,0.00027713279527731295
member,0.0002769602920341905
details,0.0002740029034591184
line,0.00027320454518046754
terms,0.0002709568445094325
before,0.00027080083932817627
hotels,0.0002688151962564288
did,0.0002686772287870256
send,0.00026744206848978004
right,0.00026697058336720757
type,0.00026571827714523696
because,0.000264730019920287
local,0.00026416309015829867
those,0.00026345200798313933
using,0.0002629004844779887
results,0.00026166326448421467
office,0.000260305854221771
education,0.00026025555313468994
national,0.0002599028893777888
car,0.00025828689499764987
design,0.00025802147124344844
take,0.00025792532800492584
posted,0.00025743891471708314
internet,0.00025736668678960227
address,0.000255508589766784
community,0.0002554756609661497
within,0.00025503834475519577
states,0.000254595482682059
area,0.0002535559184263421
want,0.0002524034133312339
phone,0.0002504066170662051
dvd,0.000250295899840451
shipping,0.000250287109785489
reserved,0.0002502107575864658
subject,0.0002499909954797467
between,0.00024922883946542176
forum,0.00024829361723076115
family,0.00024798712541091345
long,0.0002463826237666384
based,0.0002462710196322418
code,0.0002441634329641782
show,0.00024152599204733564
even,0.00023972652856463165
black,0.00023874346887800812
check,0.00023854924173947776
special,0.000238374349014215
prices,0.00023751952812144507
website,0.0002369736197529696
index,0.00023692485831587523
being,0.00023688275210853954
women,0.00023662649893115998
much,0.00023643706246527515
sign,0.000236402208614309
file,0.00023598624260678263
link,0.00023456016571118723
open,0.00023384564127674204
today,0.00023345621422969607
technology,0.00023287381283916593
south,0.0002327829139724294
case,0.0002298381304278884
project,0.00022954502517193002
same,0.00022911570967700323
pages,0.00022831420282388653
version,0.000226796836782724
section,0.00022660755447697728
own,0.00022637315984120221
found,0.00022636747250294337
sports,0.0002262292806232126
house,0.00022568890055437249
related,0.0002255103987256238
security,0.00022442400588872107
both,0.00022309171299611733
county,0.0002220368205393289
american,0.00022200521283253618
photo,0.0002216054414450853
game,0.0002215920314644661
members,0.0002211477458492948
power,0.00022108941379957717
while,0.0002206977914341091
care,0.0002198506404960574
network,0.00021974551108746036
down,0.00021944978023066917
computer,0.00021872888937279992
systems,0.00021812285269628902
three,0.00021798769816155735
total,0.00021723842622712732
place,0.0002156000122795649
end,0.0002154459428813085
following,0.00021534602857358528
download,0.00021526426808566711
him,0.00021418114188257644
without,0.0002138631446428028
per,0.00021362463549245617
access,0.00021268926300044584
think,0.00021256199892797167
north,0.00021251610506458507
resources,0.00021198836905415912
current,0.00021171371520561417
posts,0.00021155271640672056
big,0.00021142433223400258
media,0.00021117256726317486
law,0.00021087007872843194
control,0.00021032170379774713
water,0.00020994902166392778
history,0.00020977537392813462
pictures,0.000209772840042827
size,0.00020962281198186138
art,0.00020948479280051313
personal,0.00020945475206322526
since,0.00020909473838024697
including,0.00020898988119113428
guide,0.0002081930781736233
shop,0.00020762233538746007
directory,0.0002073148629920505
board,0.0002072000644254255
location,0.0002061095024349149
change,0.00020548301807477213
white,0.00020476342684540877
text,0.00020370611368417354
small,0.00020330783218615848
rating,0.00020280711810626576
rate,0.00020258806142853304
government,0.00020156211009842725
children,0.00020151862718251665
during,0.00020134923446167403
usa,0.0002012002240527592
return,0.00020063235859727453
students,0.00019982393405188557
shopping,0.00019914394441546254
account,0.0001986629979583394
times,0.00019801858028593085
sites,0.00019782817690424322
level,0.0001976407533014272
digital,0.00019742914899796465
profile,0.00019694908457099864
previous,0.00019679095627290406
form,0.00019650070005240903
events,0.00019634484415280556
love,0.00019617709450583975
old,0.0001948410724990097
john,0.0001947907440924105
main,0.0001947654832951003
call,0.00019475778992365222
